season,episode,release_date,title
17,06,2013/11/06,Ginger Cow
17,07,2013/11/13,Black Friday
17,08,2013/11/20,A Song of Ass and Fire
17,09,2013/12/04,Titties and Dragons
17,10,2013/12/11,The Hobbit
18,01,2014/9/24,"Season 18, Episode 1"
0,1,null,Unaired pilot (28 min)
0,1,1997/11/20,Jay Leno Comes to South Park
0,2,1998/10/07,Chef Aid: Behind the Menu
0,3,1999/10/09,Dead Friend Sketch
0,6,2002/6/19,Great Destinations (a.k.a. The Most Notorious Episode)
0,6,2002/9/03,South Park 5th Anniversary Special
0,15,2011/10/09,"Six Days to Air: The Making of ""South Park"" (60 min)"
0,17,2013/9/22,South Park: Pandemic 1 & 2
0,3,1999/5/03,Goin' Down To South Park
